description,genre
tokyo ghoul tome 1 tokyo s vissent des goules monstres cannibales se dissimulant parmi les humains pour mieux s en nourrir tudiant timide ken kaneki est plus int ress par la jolie fille qui partage ses go ts pour la lecture que par ces affaires sordides jusqu au jour o il se fait attaquer par l une de ces fameuses cr atures mortellement bless il survit gr ce la greffe des organes de son agresseur remis de son op ration il r alise peu peu qu il est devenu incapable de se nourrir comme avant et commence ressentir un app tit suspect envers ses cong n res c est le d but d une descente aux enfers pour kaneki devenu malgr lui un hybride mi humain mi goule,Fantasy
the spanish love deception catalina mart n desperately needs a date to her sister s wedding especially since her little white lie about her american boyfriend has spiralled out of control now everyone she knows including her ex and his fianc e will be there and eager to meet him she only has four weeks to find someone willing to cross the atlantic and aid in her deception new york to spain is no short flight and her raucous family won t be easy to fool enter aaron blackford her tall handsome condescending colleague who surprisingly offers to step in she d rather refuse never has there been a more aggravating blood boiling and insufferable man but catalina is desperate and as the wedding draws nearer aaron looks like her best option and she begins to realize he might not be as terrible in the real world as he is at the office,Romance
wish you well precocious twelve year old louisa mae cardinal lives in the hectic new york city of 1940 with her family then tragedy strikes and lou and her younger brother oz must go with their invalid mother to live on their great grandmother s farm in the virginia mountains suddenly lou finds herself coming of age in a new landscape making her first true friend and experiencing adventures tragic comic and audacious but the forces of greed and justice are about to clash over her new home and as their struggle is played out in a crowded virginia courtroom it will determine the future of two children an entire town and the mountains they love,Historical Fiction
a merciful death fbi special agent mercy kilpatrick has been waiting her whole life for disaster to strike a prepper since childhood mercy grew up living off the land and off the grid in rural eagle s nest oregon until a shocking tragedy tore her family apart and forced her to leave home now a predator known as the cave man is targeting the survivalists in her hometown murdering them in their homes stealing huge numbers of weapons and creating federal suspicion of a possible domestic terrorism event but the crime scene details are eerily familiar to an unsolved mystery from mercy s past sent by the fbi to assist local law enforcement mercy returns to eagle s nest to face the family who shunned her while maintaining the facade of a law abiding citizen there she meets police chief truman daly whose uncle was the cave man s latest victim he sees the survivalist side of her that she desperately tries to hide but if she lets him get close enough to learn her secret she might not survive the fallout,Mystery
172 hours on the moon three teenagers are going on the trip of a lifetime only one is coming back it s been more than forty years since nasa sent the first men to the moon and to grab some much needed funding and attention they decide to launch an historic international lottery in which three lucky teenagers can win a week long trip to moon base darlah 2 a place that no one but top government officials even knew existed until now the three winners antoine midori and mia come from all over the world but just before the scheduled launch the teenagers each experience strange inexplicable events little do they know that there was a reason nasa never sent anyone back there until now a sinister reason but the countdown has already begun,Fantasy
fire of stars and dragons a dragon s fire cannot be tamed in 22nd century sovereign america women should be seen and not heard unfortunately twenty one year old caitriona hayden didn t get that memo determined to make her way in the world following the death of her uncle being seen is the least of cait s problems someone s trying to kill her ordained to guard and protect her when theo pendragon claims cait as his ward he finds more than he expects as the flames of passion ignite within the dragon for the first time but theo is not alone in his desire and he must learn to fight for what he wants even if it costs him his best friend dante a powerful demigod and beloved friend to theo has spent centuries pursuing intellectual endeavors rather than indulging in the heat of desire but everything changes when cait arouses an attraction he cannot deny but dante isn t the only one with a vested interest in cait s future america s monarch an ancient vampire named corrin puts no stock in the frivolity of love and yet a proper queen would boost his approval rating amongst the people marrying cait could hold the key to his survival now love desire and need force cait into an impossible situation with dire consequences soon cait goes from studying for college exams to fighting for a future she never knew she wanted with a man she never imagined she could love but the key to her future is held in the one secret she has yet to uncover,Fantasy
love lex this summer i d planned to celebrate my eighteenth birthday in europe with my fellow manhattanites taddy brill blake morgan and vive farnworth until i caught my boyfriend screwing my mother according to the police report this vomit inducing incident happened around the same time i d supposedly blown up my mother s penthouse like i m walking around soho with a stick of dynamite in my louis vuitton purse not now my besties and i are in jail officer ford gotti the harley wheelin biker cop who arrested us keeps sticking his perfectly sculpted nose into my case his inked body is jacked like a superhero and he says i can trust him he wants me to fess up i won t not again why should i my friends and i had a previous stint in juvie that nearly destroyed us i gotta protect them and keep my mouth shut right lex easton women s studies major motorcycle enthusiast and virgin the undergrad years is a new adult contemporary miniseries about first loves independence and everlasting friendships contains mature content intended for readers 17 and up,Romance
batman dark victory the sequel to the critically acclaimed batman the long halloween dark victory continues the story of an early time in batman s life when james gordon harvey dent and the vigilante himself were all just beginning their roles as gotham s protectors once a town controlled by organized crime gotham city suddenly finds itself being run by lawless freaks such as poison ivy mr freeze and the joker witnessing his city s dark evolution the dark knight completes his transformation into the city s greatest defender he faces multiple threats including the apparent return of a serial killer called holiday batman s previous investigation of holiday s killings revealed that more than one person was responsible for the murders so the question remains who is committing holiday s crimes this time and how many will die before batman learns the truth this volume collects batman dark victory 0 13,Mystery
macbeth one night on the heath the brave and respected general macbeth encounters three witches who foretell that he will become king of scotland at first sceptical he s urged on by the ruthless single minded ambitions of lady macbeth who suffers none of her husband s doubt but seeing the prophecy through to the bloody end leads them both spiralling into paranoia tyranny madness and murder this shocking tragedy a violent caution to those seeking power for its own sake is to this day one of shakespeare s most popular and influential masterpieces,Fantasy
fried green zombies chett and harry are two recently unemployed construction workers on their way to a weekend of beer southern comfort and frog gigging at their musty rusted 1970 s rv parked at their favorite hunting camp when they stumble on bob the mysterious busty burqa clad non english speaking beauty just standing in the middle of nowhere on the side of dusty nine mile cutoff in rural bovina mississippi then all hell breaks loose their favorite pond is missing they re being chased by truck driving zombies dirty cops ufos and other ne er do wells someone stole chett s jacked up scottsdale four by four zombies are traipsing around their trailer and crazy uncle crank is trying to feed them zombie chicken for dinner aided by a classic computer nerd a crazy man wielding a frying pan and a space babe who gets nekkid any time someone turns out the lights follow chett and harry as they battle their way across the rural countryside and ultimately save the world why is their pond missing and why did the dodge of death spring from the muddy crater left in its center who is bob and why is she so good with shotguns why are they being chased by two really skinny pale bald goatee clad wierdos what is the dirty county sheriff hiding and will chett and harry ever make it out alive,Science Fiction
out stealing horses we were going out stealing horses that was what he said standing at the door to the cabin where i was spending the summer with my father i was fifteen it was 1948 and one of the first days of july trond s friend jon often appeared at his doorstep with an adventure in mind for the two of them but this morning would turn out to be different what began as a joy ride on borrowed horses ends with jon falling into a strange trance of grief trond soon learns what befell jon earlier that day an incident that marks the beginning of a series of vital losses for both boys set in the easternmost region of norway out stealing horses begins with an ending sixty seven year old trond has settled into a rustic cabin in an isolated area to live the rest of his life with a quiet deliberation a meeting with his only neighbor however forces him to reflect on that fateful summer,Historical Fiction
